time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
57.83500000,0.00780959,3766,0.00001296,0.00000000,0,0.00000058,10450,10452,6,0.00135770
57.93500000,0.00835686,3773,0.00000828,0.00000000,0,0.00000045,10452,10454,3,0.00223628
58.03500000,0.00779027,3728,0.00000938,0.00000000,0,0.00000054,10454,10456,2,0.00255967
58.13500000,0.01114024,3787,0.00007113,0.00000000,0,0.00000079,10456,10469,18,0.00222692
58.23500000,0.01089426,3764,0.00004404,0.00000000,0,0.00000103,10469,10473,17,0.00143551
58.33500000,0.00960241,3761,0.00002936,0.00000000,0,0.00000084,10473,10468,7,0.00152921
58.43500000,0.00778608,3722,0.00007354,0.00000000,0,0.00000056,10468,10480,22,0.00167157
58.53500000,0.00805897,3736,0.00017280,0.00000000,0,0.00000066,10480,10464,44,0.00233172
58.63500000,0.00834305,3769,0.00016081,0.00000000,0,0.00000050,10464,10458,57,0.00234539
58.73500000,0.00836592,3767,0.00010075,0.00000000,0,0.00000092,10458,10481,46,0.00222121
58.83500000,0.01188403,3757,0.00002021,0.00000000,0,0.00000058,10481,10483,3,0.00137843
58.93500000,0.01065767,3790,0.00004053,0.00000000,0,0.00000069,10483,10489,7,0.00141573
59.03500000,0.01124398,3804,0.00006409,0.00000000,0,0.00000068,10489,10495,16,0.00140329
59.13500000,0.01084309,3774,0.00006970,0.00000000,0,0.00000074,10495,10495,15,0.00235897
59.23500000,0.01186086,3805,0.00004728,0.00000000,0,0.00000067,10495,10499,8,0.00149941
59.33000000,0.01056135,3777,0.00007013,0.00000000,0,0.00000072,10499,10516,20,0.00211554
59.43500000,0.01185365,3757,0.00000976,0.00000000,0,0.00000054,10516,10517,1,0.00235650
59.53500000,0.01005698,3719,0.00001442,0.00000000,0,0.00000076,10517,10521,4,0.00219683
59.63500000,0.01162554,3769,0.00007585,0.00000000,0,0.00000083,10521,10526,16,0.00237365
59.73500000,0.01095601,3778,0.00007623,0.00000000,0,0.00000100,10526,10537,19,0.00238163
59.83500000,0.01058118,3771,0.00001582,0.00000000,0,0.00000069,10537,10535,4,0.00221252
59.93500000,0.00785425,3771,0.00004559,0.00000000,0,0.00000056,10535,10530,15,0.00219928
60.03500000,0.00835803,3776,0.00001696,0.00000000,0,0.00000051,10530,10529,4,0.00222595
60.13500000,0.00807392,3738,0.00001460,0.00000000,0,0.00000050,10529,10526,3,0.00223220
60.23500000,0.00791922,3791,0.00007165,0.00000000,0,0.00000048,10526,10521,23,0.00233542
60.33500000,0.00824217,3772,0.00001451,0.00000000,0,0.00000050,10521,10525,6,0.00138142
60.43500000,0.00781837,3742,0.00001436,0.00000000,0,0.00000045,10525,10528,4,0.00137405
60.53500000,0.00928276,3758,0.00004493,0.00000000,0,0.00000110,10528,10537,16,0.00151712
60.63500000,0.01089099,3799,0.00007257,0.00000000,0,0.00000077,10537,10546,20,0.00139332
60.73500000,0.00831504,3781,0.00002089,0.00000000,0,0.00000042,10546,10537,3,0.00135993
60.83000000,0.00941649,3718,0.00004419,0.00000000,0,0.00000071,10537,10527,11,0.00147912
60.93500000,0.01070714,3709,0.00013034,0.00000000,0,0.00000075,10527,10522,37,0.00228685
61.03500000,0.00808760,3735,0.00013393,0.00000000,0,0.00000045,10522,10512,51,0.00217565
61.13500000,0.00792938,3776,0.00007870,0.00000000,0,0.00000060,10512,10498,28,0.00149841
61.23500000,0.00867727,3799,0.00001032,0.00000000,0,0.00000051,10498,10501,4,0.00224810
61.33500000,0.00774609,3728,0.00001156,0.00000000,0,0.00000051,10501,10504,4,0.00233124
61.43500000,0.00783462,3801,0.00004818,0.00000000,0,0.00000053,10504,10499,15,0.00145060
61.53500000,0.00789472,3779,0.00001893,0.00000000,0,0.00000036,10499,10502,7,0.00134399
61.63500000,0.00841725,3797,0.00001448,0.00000000,0,0.00000060,10502,10506,6,0.00147169
